Model Name,Dataset,Sparsing Name,Power,Accuracy Mean,Accuracy Std,Removed %
GCN,roman_empire,NoSparsification,None,63.10%,7.66%,N/A
GCN,roman_empire,PreferentialAttachment,1,63.66%,8.02%,1.00%
GCN,roman_empire,PreferentialAttachment,2,62.79%,7.42%,2.00%
GCN,roman_empire,PreferentialAttachment,3,63.97%,7.61%,3.00%
GCN,roman_empire,PreferentialAttachment,4,63.75%,7.90%,4.00%
GCN,roman_empire,PreferentialAttachment,5,63.85%,7.80%,5.00%
GCN,roman_empire,PreferentialAttachment,6,64.52%,7.34%,6.00%
GCN,roman_empire,PreferentialAttachment,7,64.29%,8.16%,7.00%
GCN,roman_empire,PreferentialAttachment,8,64.58%,7.63%,8.00%
GCN,roman_empire,PreferentialAttachment,9,64.23%,8.15%,9.00%
GCN,roman_empire,PreferentialAttachment,10,64.79%,7.58%,10.00%
GCN,roman_empire,AdjustedRand,1,62.61%,7.84%,1.00%
GCN,roman_empire,AdjustedRand,2,62.95%,7.67%,2.00%
GCN,roman_empire,AdjustedRand,3,62.43%,8.24%,3.00%
GCN,roman_empire,AdjustedRand,4,61.07%,7.63%,4.00%
GCN,roman_empire,AdjustedRand,5,61.13%,7.00%,5.00%
GCN,roman_empire,AdjustedRand,6,60.12%,6.67%,6.00%
GCN,roman_empire,AdjustedRand,7,60.24%,6.62%,7.00%
GCN,roman_empire,AdjustedRand,8,59.12%,6.50%,8.00%
GCN,roman_empire,AdjustedRand,9,58.41%,6.86%,9.00%
GCN,roman_empire,AdjustedRand,10,58.15%,6.55%,10.00%
GCN,roman_empire,LDS,1,63.20%,7.64%,1.00%
GCN,roman_empire,LDS,2,62.88%,7.59%,2.00%
GCN,roman_empire,LDS,3,62.36%,7.21%,3.00%
GCN,roman_empire,LDS,4,62.33%,7.09%,4.00%
GCN,roman_empire,LDS,5,61.72%,7.13%,5.00%
GCN,roman_empire,LDS,6,61.97%,6.71%,6.00%
GCN,roman_empire,LDS,7,62.43%,6.96%,7.00%
GCN,roman_empire,LDS,8,61.70%,6.70%,8.00%
GCN,roman_empire,LDS,9,61.39%,6.94%,9.00%
GCN,roman_empire,LDS,10,60.67%,6.35%,10.00%
GCN,roman_empire,LSS,1,62.89%,7.77%,1.00%
GCN,roman_empire,LSS,2,62.12%,6.81%,2.00%
GCN,roman_empire,LSS,3,61.33%,6.96%,3.00%
GCN,roman_empire,LSS,4,61.35%,6.87%,4.00%
GCN,roman_empire,LSS,5,59.86%,6.43%,5.00%
GCN,roman_empire,LSS,6,58.89%,6.40%,6.00%
GCN,roman_empire,LSS,7,58.10%,5.61%,7.00%
GCN,roman_empire,LSS,8,57.73%,6.23%,8.00%
GCN,roman_empire,LSS,9,57.39%,5.27%,9.00%
GCN,roman_empire,LSS,10,56.14%,5.94%,10.00%
GCN,roman_empire,SCAN,1,62.62%,7.01%,1.00%
GCN,roman_empire,SCAN,2,62.89%,7.72%,2.00%
GCN,roman_empire,SCAN,3,63.15%,6.99%,3.00%
GCN,roman_empire,SCAN,4,62.70%,7.48%,4.00%
GCN,roman_empire,SCAN,5,62.13%,7.08%,5.00%
GCN,roman_empire,SCAN,6,61.53%,6.74%,6.00%
GCN,roman_empire,SCAN,7,62.27%,7.44%,7.00%
GCN,roman_empire,SCAN,8,62.14%,7.07%,8.00%
GCN,roman_empire,SCAN,9,61.86%,6.59%,9.00%
GCN,roman_empire,SCAN,10,60.62%,6.65%,10.00%
SAGE,roman_empire,NoSparsification,None,93.06%,7.71%,N/A
SAGE,roman_empire,PreferentialAttachment,1,93.37%,7.36%,1.00%
SAGE,roman_empire,PreferentialAttachment,2,93.08%,7.59%,2.00%
SAGE,roman_empire,PreferentialAttachment,3,92.74%,7.80%,3.00%
SAGE,roman_empire,PreferentialAttachment,4,92.91%,7.39%,4.00%
SAGE,roman_empire,PreferentialAttachment,5,92.80%,7.59%,5.00%
SAGE,roman_empire,PreferentialAttachment,6,92.51%,7.74%,6.00%
SAGE,roman_empire,PreferentialAttachment,7,92.33%,7.78%,7.00%
SAGE,roman_empire,PreferentialAttachment,8,92.21%,7.84%,8.00%
SAGE,roman_empire,PreferentialAttachment,9,91.69%,7.92%,9.00%
SAGE,roman_empire,PreferentialAttachment,10,92.11%,7.92%,10.00%
SAGE,roman_empire,AdjustedRand,1,93.21%,7.39%,1.00%
SAGE,roman_empire,AdjustedRand,2,93.09%,7.41%,2.00%
SAGE,roman_empire,AdjustedRand,3,92.84%,7.77%,3.00%
SAGE,roman_empire,AdjustedRand,4,92.69%,7.67%,4.00%
SAGE,roman_empire,AdjustedRand,5,92.93%,7.38%,5.00%
SAGE,roman_empire,AdjustedRand,6,92.44%,7.73%,6.00%
SAGE,roman_empire,AdjustedRand,7,92.40%,7.68%,7.00%
SAGE,roman_empire,AdjustedRand,8,92.16%,7.55%,8.00%
SAGE,roman_empire,AdjustedRand,9,92.31%,7.57%,9.00%
SAGE,roman_empire,AdjustedRand,10,92.45%,7.68%,10.00%
SAGE,roman_empire,LDS,1,93.45%,7.34%,1.00%
SAGE,roman_empire,LDS,2,92.80%,7.51%,2.00%
SAGE,roman_empire,LDS,3,92.88%,7.83%,3.00%
SAGE,roman_empire,LDS,4,92.81%,7.54%,4.00%
SAGE,roman_empire,LDS,5,92.76%,7.55%,5.00%
SAGE,roman_empire,LDS,6,92.73%,7.62%,6.00%
SAGE,roman_empire,LDS,7,92.27%,7.76%,7.00%
SAGE,roman_empire,LDS,8,92.51%,7.60%,8.00%
SAGE,roman_empire,LDS,9,91.77%,7.91%,9.00%
SAGE,roman_empire,LDS,10,91.55%,8.02%,10.00%
SAGE,roman_empire,LSS,1,93.06%,7.71%,1.00%
SAGE,roman_empire,LSS,2,92.85%,7.52%,2.00%
SAGE,roman_empire,LSS,3,92.60%,7.75%,3.00%
SAGE,roman_empire,LSS,4,92.82%,7.80%,4.00%
SAGE,roman_empire,LSS,5,92.46%,7.92%,5.00%
SAGE,roman_empire,LSS,6,92.55%,7.80%,6.00%
SAGE,roman_empire,LSS,7,92.51%,7.68%,7.00%
SAGE,roman_empire,LSS,8,92.28%,8.07%,8.00%
SAGE,roman_empire,LSS,9,92.03%,7.83%,9.00%
SAGE,roman_empire,LSS,10,91.91%,7.96%,10.00%
SAGE,roman_empire,SCAN,1,92.96%,7.38%,1.00%
SAGE,roman_empire,SCAN,2,93.03%,7.60%,2.00%
SAGE,roman_empire,SCAN,3,92.74%,7.70%,3.00%
SAGE,roman_empire,SCAN,4,92.88%,7.54%,4.00%
SAGE,roman_empire,SCAN,5,92.82%,7.69%,5.00%
SAGE,roman_empire,SCAN,6,92.82%,7.37%,6.00%
SAGE,roman_empire,SCAN,7,92.61%,7.72%,7.00%
SAGE,roman_empire,SCAN,8,92.20%,7.77%,8.00%
SAGE,roman_empire,SCAN,9,92.31%,7.80%,9.00%
SAGE,roman_empire,SCAN,10,92.15%,7.86%,10.00%
GAT,roman_empire,NoSparsification,None,62.25%,9.53%,N/A
GAT,roman_empire,PreferentialAttachment,1,61.97%,9.44%,1.00%
GAT,roman_empire,PreferentialAttachment,2,61.26%,8.65%,2.00%
GAT,roman_empire,PreferentialAttachment,3,61.22%,8.64%,3.00%
GAT,roman_empire,PreferentialAttachment,4,61.74%,8.98%,4.00%
GAT,roman_empire,PreferentialAttachment,5,62.17%,9.43%,5.00%
GAT,roman_empire,PreferentialAttachment,6,61.63%,8.78%,6.00%
GAT,roman_empire,PreferentialAttachment,7,61.42%,8.46%,7.00%
GAT,roman_empire,PreferentialAttachment,8,62.19%,8.59%,8.00%
GAT,roman_empire,PreferentialAttachment,9,61.86%,8.37%,9.00%
GAT,roman_empire,PreferentialAttachment,10,62.05%,8.40%,10.00%
GAT,roman_empire,AdjustedRand,1,61.61%,8.72%,1.00%
GAT,roman_empire,AdjustedRand,2,61.80%,9.24%,2.00%
GAT,roman_empire,AdjustedRand,3,61.15%,8.06%,3.00%
GAT,roman_empire,AdjustedRand,4,61.21%,8.76%,4.00%
GAT,roman_empire,AdjustedRand,5,59.78%,8.25%,5.00%
GAT,roman_empire,AdjustedRand,6,59.83%,8.37%,6.00%
GAT,roman_empire,AdjustedRand,7,59.05%,7.67%,7.00%
GAT,roman_empire,AdjustedRand,8,58.18%,7.38%,8.00%
GAT,roman_empire,AdjustedRand,9,57.02%,6.92%,9.00%
GAT,roman_empire,AdjustedRand,10,56.57%,6.96%,10.00%
GAT,roman_empire,LDS,1,61.67%,8.75%,1.00%
GAT,roman_empire,LDS,2,61.42%,9.20%,2.00%
GAT,roman_empire,LDS,3,61.58%,8.47%,3.00%
GAT,roman_empire,LDS,4,61.27%,7.85%,4.00%
GAT,roman_empire,LDS,5,60.74%,8.02%,5.00%
GAT,roman_empire,LDS,6,59.79%,7.85%,6.00%
GAT,roman_empire,LDS,7,60.14%,8.14%,7.00%
GAT,roman_empire,LDS,8,60.13%,7.76%,8.00%
GAT,roman_empire,LDS,9,59.71%,7.65%,9.00%
GAT,roman_empire,LDS,10,60.25%,7.65%,10.00%
GAT,roman_empire,LSS,1,60.66%,8.93%,1.00%
GAT,roman_empire,LSS,2,60.63%,8.59%,2.00%
GAT,roman_empire,LSS,3,60.75%,8.26%,3.00%
GAT,roman_empire,LSS,4,58.94%,7.89%,4.00%
GAT,roman_empire,LSS,5,58.22%,7.40%,5.00%
GAT,roman_empire,LSS,6,57.94%,7.52%,6.00%
GAT,roman_empire,LSS,7,57.31%,6.73%,7.00%
GAT,roman_empire,LSS,8,56.14%,6.87%,8.00%
GAT,roman_empire,LSS,9,55.89%,6.83%,9.00%
GAT,roman_empire,LSS,10,54.99%,6.21%,10.00%
GAT,roman_empire,SCAN,1,61.51%,8.89%,1.00%
GAT,roman_empire,SCAN,2,61.89%,9.04%,2.00%
GAT,roman_empire,SCAN,3,61.38%,8.94%,3.00%
GAT,roman_empire,SCAN,4,61.83%,8.73%,4.00%
GAT,roman_empire,SCAN,5,60.77%,8.95%,5.00%
GAT,roman_empire,SCAN,6,60.30%,8.43%,6.00%
GAT,roman_empire,SCAN,7,60.79%,8.24%,7.00%
GAT,roman_empire,SCAN,8,58.89%,8.11%,8.00%
GAT,roman_empire,SCAN,9,59.49%,7.85%,9.00%
GAT,roman_empire,SCAN,10,58.98%,8.03%,10.00%
